No.,Time,Source,Destination,Protocol,Length,Info,Clasificacion_MLP,Clasificacion_RF,Confianza_MLP,Confianza_RF
3835,6.97734,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4572683 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3836,6.97734,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4574143 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3837,6.97734,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4575603 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3838,6.977405,10.157.66.26,2.19.172.145,TCP,66,[TCP Dup ACK 3702#5] 50089  >  443 [ACK] Seq=7922 Ack=4372663 Win=8217 Len=0 SLE=4403323 SRE=4577063,Normal,Normal,100.0%,100.0%
3839,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4577063 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3840,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4578523 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3841,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4579983 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3842,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4581443 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3843,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4582903 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3844,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4584363 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
3845,6.982786,2.19.172.145,10.157.66.26,TCP,1514,443  >  50089 [ACK] Seq=4585823 Ack=7922 Win=620 Len=1460 [TCP PDU reassembled in 3874],Normal,Normal,100.0%,100.0%
